,index,pre_close,pre_settle,open,high,low,close,settle,vol,MA,EMA,DEMA,HT_TRENDLINE,KAMA,TEMA,WMA,MACD,CCI,DX,MINUS_DI,PLUS_DI,pcg_zscore
177,178,0.25749243325443516,-0.8043146111789524,-0.21585165971280681,-1.118913633628577,-0.5958846718274879,-0.7262180225879669,-0.6307742107391526,3372.0,6441.36666666667,6437.204170294519,6503.613949581715,6456.535531714662,6334.0158139960895,6509.528487112161,6462.552258064492,38.2142308279017,86.7744702481181,0.3727894788383933,24.354592253140314,24.173683945211224,0.20592332515388656
178,179,-0.7261756512975887,0.3085808018762009,0.07601025726290202,0.2685751336783796,0.3241405733878062,0.21143196945317896,0.2463190385646787,4631.0,6451.30666666667,6443.732933501324,6511.965763576357,6459.517324675325,6343.0660838555805,6519.2041526483,6468.812473118255,39.665904380025495,97.502762228304,3.26199266080159,23.630719322575192,25.224368708579615,0.08969835655709399
179,180,0.21150676728097137,0.24607993325908478,-0.2074212209401811,-0.07298739728021475,-0.46654578330579866,0.0961347009323223,-0.02228048159746991,6731.0,6459.546666666671,6450.395324888335,6520.458596578636,6463.578943722943,6350.482782098726,6528.942341415061,6474.986236559115,41.037262241319695,67.08234414268888,4.589056899362949,25.991869664087503,23.710977717158592,-0.4419599006202563
180,181,0.09620551146077785,-0.02210088345003491,0.328313835018846,0.040779504003709346,0.13591223375982553,-0.4336839147656464,-0.2751751778436907,7552.0,6465.820000000003,6454.034336185862,6522.981633174474,6468.226328320802,6354.428415233297,6529.874063300516,6478.034838709653,38.43718920112133,47.30688134943328,4.023923841021712,24.61956980857591,22.714868077465862,0.1756372272030629
181,182,-0.4336314268344397,-0.2746013575379024,-0.42443823187902513,0.3127152140029914,0.11345254556821584,0.18140567371290658,0.05975660647090052,8422.0,6468.440000000003,6458.496637077097,6527.170131867922,6471.979263157895,6356.39265170537,6533.361751542742,6481.736774193523,37.27032640095331,60.8602033800176,0.800192836572941,23.00807600828681,23.37926418156271,0.7655053493909865
182,183,0.1814794331481106,0.059808321992074934,0.26904471969233656,0.2722060225468929,0.3237059328432026,0.7639376668663098,0.6362437417161184,7467.0,6473.06666666667,6467.212983072123,6539.609930904048,6476.900368421053,6360.8507848246,6548.885321509261,6489.8116129032005,41.54733900593874,102.64077270859126,4.939098187802653,21.508928704749152,23.74401608056809,-0.3480182126809799
183,184,0.7640315718735623,0.6353968065099638,0.8806499468203186,0.28447520904809387,0.2143036444487585,-0.3397788059945412,-0.11267662063693991,7611.0,6476.853333333336,6473.315371261018,6546.750233990172,6481.96,6363.873348452256,6556.398164944069,6495.5363440859965,41.888048722027634,96.0337358193328,9.218097685079307,20.2039954559562,24.30706884377377,-0.15841614681326693
184,185,-0.3397230705642157,-0.1123561094471679,-0.5082340647633958,-0.5270298376760318,-0.2008863644580055,-0.15062860294342384,-0.17865911919934416,6412.0,6479.70666666667,6478.107927953856,6551.288417090558,6487.952631578947,6366.028316050603,6560.075938493201,6500.100645161265,40.54486632042244,56.53264554323809,4.848018892570349,21.14665551272957,23.30151102382276,0.18323014172984037
185,186,-0.15056632617444513,-0.17823575190628915,-0.29929710793633274,0.16172558426189937,-0.919127128007234,0.18893464879983046,0.2135424358326312,9326.0,6482.96666666667,6483.700964860059,6557.392327932454,6495.995204678364,6368.6128563948205,6566.09082679735,6505.590537634383,40.40254544941581,18.54927571286476,12.180695119430752,26.03626163128933,20.382173561272797,0.3391604681085751
186,187,0.18900866860787555,0.21335442397923027,0.606304561623889,0.41316981041371204,1.1599413205762001,0.34337533678774945,0.39780965130775936,7392.0,6488.913333333336,6490.971870352958,6566.710766752749,6505.455263157895,6374.168695641338,6576.763506545538,6512.908817204276,42.35141034592744,119.304895937725,5.2443700736111465,24.48528871943664,22.04506478509928,-0.43219444979934063
187,188,0.34345469758314573,0.3973343965011585,-0.08257710869186337,-0.11417482497572513,-0.25165221753539047,-0.42391647124642917,-0.4535029153986202,7785.0,6490.626666666669,6495.218846459219,6570.044340093913,6512.384970760234,6375.716076744215,6578.594042474658,6517.288602150512,40.23668728369648,56.00749622320433,9.678032511187936,24.83114547883605,20.44892548943756,-0.28251831006049777
188,189,-0.4238636455299344,-0.4526511108304623,-0.49265121969858866,-0.2562309001226173,-0.2614281676702593,-0.2743779297862822,-0.23780728046380997,8352.0,6491.960000000003,6497.5402112037855,6569.709852913416,6518.276783625732,6376.858722027884,6575.223454952601,6519.9062365591135,36.07914998669276,-20.50647744287236,14.154240451920725,25.132754536535103,18.900221263641978,0.44137621381584213
189,190,-0.27431993261226,-0.2372917107001519,-0.027962855392859736,0.04580070986363062,0.2969608294669554,0.44443233272791494,0.3089280225036721,7066.0,6497.093333333336,6502.344068545477,6574.35153539994,6524.526491228071,6381.166239395243,6579.357709217248,6525.070107526855,35.6653626458874,47.36221632773372,13.340920727172998,23.704941478577155,18.124507808566317,-1.5123412385779678
190,191,0.44451518835452497,0.30859131986153016,0.11347316434972812,-0.3808901276456562,-1.1432521756492087,-1.512524877870019,-1.174520489398485,8206.0,6498.306666666669,6497.870257671575,6561.046903588874,6528.6663157894745,6381.518777755756,6557.469007896105,6520.935053763414,23.84640831738216,-191.6589147286795,30.477446895605432,29.78008902347561,15.867783052535444,-0.037352407867051955
191,192,-1.5125096992516165,-1.172544734393833,-1.7310315756984187,-0.9386670603943393,-0.47327571043155736,-0.03011685346496032,-0.18608646834992834,7184.0,6496.926666666669,6493.491531370183,6548.4960368173215,6530.334736842105,6381.879118340511,6537.504067503613,6516.528172042983,14.075473634737136,-230.53447037141055,36.0665352896089,30.746833376815932,14.44698788330989,0.011429414265651652
192,193,-0.03005040906543028,-0.18565152301408933,0.6401982264632187,-0.15923727201091373,0.38118487858129824,0.01838470257724009,-0.01572127335047211,6802.0,6495.073333333336,6489.485626120494,6537.19399404714,6531.329473684211,6382.316859393417,6520.085765073209,6512.300645161262,6.371459582696843,-157.75937797880562,36.06653528960888,29.17261524381056,13.707311376968786,0.630130290961152
193,194,0.018452824295103195,-0.015551899953775665,-0.0934690998556691,0.2680720327646867,-0.04271761635128902,0.6306688481426275,0.5426870546823681,7362.0,6495.660000000003,6489.42848895143,6534.005446756911,6530.534853801169,6382.891463561968,6515.071590829239,6511.883010752659,4.825904874315711,-92.73425901667945,30.363659469718563,27.06969217776596,14.459814262721505,-0.0018989824119496187
